,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,216 West Jackson Blvd.,Suite 700,"Chicago, IL 60606",jvsscholarship@jvschicago.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/the-jewish-federation-of-metropolitan-chicago-academic-scholarship/,"Educational scholarship funds from grants administered by the Jewish Federation of Metropolitan Chicago are available for Jewish college and graduate students. Approximately $500,000 is available each year for full-time students, predominantly those legally domiciled in the metropolitan Chicago area, who are identified as having promise for significant contributions in their chosen careers. Assistance is available primarily for those with financial need who are pursuing careers in the helping professions.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Must be Jewish-Must have been born and raised in Chicago metropolitan area, including Lake County, Indiana; or one continuous year of full-time employment in the Chicago metro area prior to enrollment-Intend to remain in the Chicago metropolitan area after completing school-Are entering an accredited graduate program in a helping profession on a full-time basis for the full academic year-Are entering your junior or senior years of an accredited bachelor's degree program in a helping profession on a full-time basis for the full academic year-Demonstrate financial need-Demonstrate career promise-Are available for an in-person interview between March 1 and April 20For more information or to apply, please visit the scholarship provider's website.",The Jewish Federation of Metropolitan Chicago Academic Scholarship
0,1411 W. 190th Street,Suite 700,"Gardena , CA 90248",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/the-hispanic-scholarship-fund-college-scholarships/,"HSF/ General College Scholarships are designed to assist students of Hispanic heritage in obtaining a college degree. Scholarships are available on a competitive basis to graduating high school seniors, community college transfer students, undergraduate students and graduate students. Applicants must be of Hispanic heritage and have a minimum of 3.0 GPA for high school students. A minimum of 2.5 GPA for college and graduate students. Plan to enroll full-time in an accredited not-for-profit, four-year university or graduate school during the fall of the scholarship cycle year. U.S. Citizen, permanent legal resident, DACA or eligible non-citizen. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",The Hispanic Scholarship Fund College Scholarships
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/the-google-anita-borg-memorial-scholarship/,"Dr. Anita Borg devoted her adult life to revolutionizing the way we think about technology and dismantling barriers that keep women and minorities from entering computing and technology fields. Her combination of technical expertise and fearless vision continues to inspire and motivate countless women to become active participants and leaders in creating technology. In her honor, Google is proud to honor Anita's memory and support women in technology with the Google Anita Borg Memorial Scholarship. Google hopes to encourage women to excel in computing and technology and become active role models and leaders in the field.(adsbygoogle = window.adsbygoogle || []).push({});Recipients will each receive a $10,000 award for the upcoming academic year. A group of female undergraduate and graduate students will be chosen from the applicant pool, and scholarships will be awarded based on the strength of each candidate's academic background and demonstrated leadership. All scholarship recipients and finalists will be invited to attend the Annual Google Scholars' Retreat in Mountain View, California.Applicants must satisfy all of the following criteria to be eligible:-Be a female student entering her senior year of undergraduate study or be enrolled in a graduate program in the upcoming academic year at a university in the United States-Be enrolled in computer science or computer engineering program, or a closely related technical field as a full-time student-Maintain a cumulative GPA of at least 3.5 on a 4.0 scale or 4.5 on a 5.0 scale or equivalent in your current programFor further details and how to apply, please visit the provider's website.",The Google Anita Borg Memorial Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/the-edison-international-stem-scholarship/,"This scholarship is for students who major in Science, Technology, Engineering, and Mathematics fields (STEM). Applicants must submit a summary of their research interest and professional goal along with a description of their participation in faculty-mentored undergraduate research, or participation in STEM programs (CAMP, Edison Scholars, MESA, NSF). May be renewable based on available funding.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Must be majoring in science, technology, engineering, or mathematics (STEM)-Preference given to Orange County community college transfers-Fall semester first-time freshman who can demonstrate superior participation in high school STEM programs may be consideredFor more information or to apply, please visit the scholarship provider's website.",The Edison International STEM Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/texas-instruments-scholarship/,"The REC Foundation and Texas Instruments are pleased to partner in offering two (2) $5,000 non-renewable scholarships to two (2) high school seniors intent on pursuing a degree related to science, technology, engineering, or mathematics in college. The award will be presented at the VEX Robotics Competition in April. However, the student does not need to be present to win.(adsbygoogle = window.adsbygoogle || []).push({});Students must submit an essay, up to but no more than 500-words, discussing their participation in the aforementioned program(s), their interest in robotics or engineering, and how TI products benefitted their project/design.For more information or to apply, please visit the scholarship provider's website.",Texas Instruments Scholarship
0,900 Corporate Pointe,,"Culver City, CA 90230",SRLFellowship@Symantec.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/symantec-graduate-fellowship/,"Symantec Corp. based in Cupertino, California, is offering a one-year fellowship that covers 100 percent of the student's tuition and fees and provides a $20,000 stipend to cover academic-year living expenses. Recipients will have the opportunity to work directly with Symantec's top researchers on new research projects and will also have access to the company's market-leading technologies and extensive Global Intelligence Network.(adsbygoogle = window.adsbygoogle || []).push({});In addition, recipients are eligible for a salaried summer internship at Symantec Research Labs to pursue innovative research. This allows the students to research and develop next-generation technologies that could impact millions of customers, in a real-world industry environment.Eligibility:-Applying students must be enrolled in a PhD program-Preference will be given to students with a desire to work in an industrial research lab and those working on innovative research projects in areas related to Symantec's businesses such as security, cloud computing, virtualization, machine learning, data mining, etc.-Recipients will also be selected based on their overall potential for research excellence and their academic progress to date as evidenced by publications-Submit a single compressed file including a resume or C.V., personal statement of research interests not to exceed 500 words - applicants are strongly encouraged to articulate the value and novelty of their research; two letters of recommendation from professors or industry researchers who can evaluate the applicant's scientific aptitude and a potential for researchFor more information or to apply, please visit the scholarship provider's website.",Symantec Graduate Fellowship
0,2625 Alcatraz Avenue,PMB 356,"Berkeley, CA 94705",g.oconnell@berkeley.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/swe-golden-gate-section-scholarship/,"The Golden Gate Section of the Society of Women Engineers (SWE) is pleased to announce its High School Scholarship Program. Each year our Section awards scholarships to graduating local high school seniors who are pursuing a degree in engineering, computer science, physical science, or mathematics.(adsbygoogle = window.adsbygoogle || []).push({});Applicants must be females attending school within the boundaries of the Golden Gate Section (includes San Francisco, Marin, Napa, Sonoma, San Mateo counties and parts of Contra Costa and Alameda counties). See website for eligible zip codes. For more information or to apply, please visit the scholarship provider's website.",SWE Golden Gate Section Scholarship
0,244 West 54th Street,Suite 800,"New York, NY 10019",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/support-creativity-undergraduate-scholarship/,"Design something creative that illustrates your passion for your specific creative field. This can be done in absolutely any medium (drawing, painting, animation, digital media, film, etc.). Submit an essay that explains this piece of work. Also, make sure to express why you should receive this scholarship and any financial hardship that you may be going through. It can be as long as you want and as short as you dare.(adsbygoogle = window.adsbygoogle || []).push({});Selection is based on the student's project, their essay, and a demonstration of financial need. The selection will be made by Support Creativity. Undocumented students are encouraged to apply.Eligibility:-Must be a passionate creative student-Attend a college or graduate school in the New York Tri-state area in the upcoming fall-Major in any creative field-Submit application, including the project and essay online-Undergraduate students must be a sophomore, junior, or senior in the upcoming fallFor more information or to apply, please visit the scholarship provider's website.",Support Creativity Undergraduate Scholarship
0,244 West 54th Street,Suite 800,"New York, NY 10019",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/support-creativity-graduate-scholarship/,"Design something creative that illustrates your passion for your specific creative field. This can be done in absolutely any medium (drawing, painting, animation, digital media, film, etc.) Submit an essay that explains this piece of work. Also, make sure to express why you should receive this scholarship and any financial hardship that you may be going through. It can be as long as you want and as short as you dare.(adsbygoogle = window.adsbygoogle || []).push({});Scholarship applicant does not need to be a U.S. citizen - undocumented students are encouraged to apply.Eligibility:-Must be a passionate creative student-Attend a college or graduate school in the New York Tri-state area in the upcoming fall-Major in any creative field-Submit application, including the project and essay online-Graduate applicants must be attending graduate school in the upcoming fall-Must be able to demonstrate level of financial needFor more information or to apply, please visit the scholarship provider's website.",Support Creativity Graduate Scholarship
0,"UAS7 NY, Rm. 1508",871 United Nations Plaza,"New York, NY 10017",apply@uas7.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/study-and-internship-program-sip-in-germany-uas7/,"Internships typically last 5-6 months, but UAS7 research internships may run from 2-6 months, depending on the specifications of the project description. Recipients will receive a full tuition waiver for both semesters (enrollment is also required during the internship to maintain residency in Germany) and the benefits provided to exchange students at the host UAS. Successful SIP applicants are eligible for a UAS7 Travel Scholarship.(adsbygoogle = window.adsbygoogle || []).push({});Applicants must be full-time sophomores or juniors in good academic standing and currently enrolled in an undergraduate program at an accredited U.S. or Canadian college/university, in a field represented on UAS7 campuses.Competitive applicants will have a minimum 3.0 GPA, language skills commensurate with their proposed course of study and internship in Germany, strong support from academic and study abroad advisors, and a well-reasoned study plan and statement of motivation.For more information or to apply, please visit the scholarship provider's website.",Study & Internship Program (SIP) in Germany - UAS7
0,203 N. LaSalle Street,Suite 1675,"Chicago, IL 60601",scholarships@swe.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/society-of-women-engineers-swe-scholarship-program/,"Women who are returning to school to pursue a career in engineering might be able to receive a scholarship from the Society of Women Engineers (SWE). They offer various scholarships for women with two just for non-traditional students who are returning to college after at least two years of being out of school and the workforce. To qualify, women must be working toward a degree in engineering and demonstrate financial need. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Society of Women Engineers (SWE) Scholarship Program
0,5454 Venice Avenue NE,Suite D,"Albuquerque, NM 87113",nativeamerican.scholarship@soudermiller.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/sma-native-american-stem-scholarship/,"This scholarship may be used for tuition, fees, books or on-campus housing/meals. Automatic approval for up to a maximum of four academic years is at the discretion of the Scholarship Committee. In order to be eligible for consideration under this award program, the scholarship applicant must be an enrolled member of a Pueblo or Tribe, a high school graduate by June who has been accepted by an accredited U.S. college or university or a college STEM student already enrolled at an accredited college or university and must have a minimum 3.0 GPA. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",SMA Native American STEM Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/shpe-professional-scholarship/,"SHPE will provide $2,000 to applicants who are employed full-time in the U.S. or Puerto Rico in a technical career field and enrolled at least half-time (6 hours) in a science, technology, engineering, or math (STEM) degree program and maintain a 3.0 GPA throughout the academic year. Applicant must be pursuing a first master's or doctoral degree. Applicant must be a paid SHPE member in good standing both at the time of application and throughout the academic year. The scholarship will be awarded on the basis of academic standing and financial need. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",SHPE Professional Scholarship
0,1840 South 1300 East,,"Salt Lake City, UT 84105",hzullo@westminstercollege.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/s-cubed-scholarship/,"The S-Cubed Program provides financial and academic support for Westminster students majoring in computer science, physics, or mathematics. Participants benefit from early exploration of topics in these fields, interactions with professionals and mentors, and a strong cohort of peers. The goal of this program is to increase student success in computer science, physics, and mathematics. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",S-Cubed Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/scarlett-family-foundation-scholarship/,"Scarlett Family Foundation Scholarships are open to high school seniors and college freshmen, sophomores, and juniors who will graduate or have graduated from high school in one of the following Middle Tennessee counties: Bedford, Cannon, Cheatham, Clay, Coffee, Cumberland, Davidson, Dekalb, Dickson, Fentress, Franklin, Giles, Hickman, Houston, Humphreys, Jackson, Lawrence, Lewis, Lincoln, Macon, Marshall, Maury, Montgomery, Moore, Overton, Perry, Pickett, Putnam, Robertson, Rutherford, Smith, Stewart, Sumner, Trousdale, Van Buren, Warren, Wayne, White, Williamson and Wilson.(adsbygoogle = window.adsbygoogle || []).push({});Scarlett Family Foundation scholarships are open to middle Tennessee high school seniors, who will graduate or obtain a GED prior to June 1st and to college freshman, sophomores and juniors.Applicants must demonstrate financial need and must be planning to pursue a business degree at a four-year, not-for-profit college. Must have a minimum GPA of 2.5 and must be pursuing a business or STEM approved degree at a 4 year, non-profit college or university, with the intent to enroll full-time in the fall. For more information and to apply, please visit the scholarship provider's website.",Scarlett Family Foundation Scholarship
0,P.O. Box 3228,212 Carnegie Center,"Princeton, NJ 08543",sapa_scholarship@yahoo.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/sapa-scholarship-and-excellence-in-education-program/,"The SAPA Scholarship and Excellence in Education Program (the ""SAPA Scholarship"") was established by the Sino-American Pharmaceutical Professionals Association (SAPA) in 1999. SAPA is a nonprofit tax-exempt professional organization headquartered in the tri-state (NJ-NY-CT) area and has become a major pharmaceutical professional organization with more than 4000 members and five Chapters in the U.S. and China. The primary purpose of SAPA Scholarship is to recognize and support educational excellence achieved by outstanding high school students, and to encourage the finest high school graduates to develop careers in life sciences.(adsbygoogle = window.adsbygoogle || []).push({});SAPA will award undergraduate scholarships to selected candidates, known as SAPA Scholars, for use during their college freshman year. The awards will be made on the basis of merits to those who have outstanding potential and intend to pursue careers in life sciences. The Scholarship is merit-based and open to national competition. Applicants for the SAPA Scholarship must include in their application materials a statement of interest in pursuing a career related to life sciences.To be considered for nomination as a SAPA Scholar, a student must:-Be a high school senior who is planning to attend a full-time undergraduate program at an accredited four-year college/university with a major related to life sciences-Have a minimum GPA of 3.3 and a minimum SAT score of 2000 or ACT score of 30-Be a United States citizen, or a legal resident alien (please submit a photocopy of the Alien Registration Card)For more information or to apply, please visit the scholarship provider's website.",SAPA Scholarship & Excellence in Education Program
0,Franklin D. Roosevelt Library,511 Albany Post Road,"Hyde Park, NY 12538",library@roosevelt.nara.gov,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/roosevelt-archival-internships/,"The Franklin D. Roosevelt Library and the Franklin and Eleanor Roosevelt Institute (FERI) offer Roosevelt Archival Internships to college and graduate level students. Preference may be given to students majoring in history, political science, archival, library, or computer/information science. Research skills, basic computer skills, familiarity with the Internet, and knowledge of Windows, Word Perfect, and Access database software are particularly valuable. Some familiarity with the history of the Franklin D. Roosevelt presidency (1933-1945) is helpful.(adsbygoogle = window.adsbygoogle || []).push({});Roosevelt interns work at the FDR Library as part of a team of other interns and staff professionals to organize and automate archival materials, make indices, finding aids, and databases, digitize documents and photographs, and assist with other archival and museum projects. The work schedule is Monday-Friday, 9:00-5:00 PM.Internships can last six or seven weeks, and must take place during the summer break (mid-May through the end of August). The FDR Library is in Hyde Park, New York, a rural/suburban town 80 miles north of New York City. There may be an opportunity for one or two interns to work on the New Deal Network Web site project in New York City.Interns receive a stipend of $1,200-1,400 ($200 per week). The internships are funded by the William R. Emerson Archival Internship Fund and by the FDRL/FERI Roosevelt Internship Program, both of which are managed by FERI.For more information or to apply, please visit the scholarship provider's website.",Roosevelt Archival Internships
0,11175 Santa Monica Blvd.,Suite 440,"Los Angeles , CA 90025",debby@interactive.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/randy-pausch-scholarship/,"The Randy Pausch Scholarship was established to support students who are pursuing careers specializing in the development of interactive entertainment. Possible career paths for Randy Pausch applicants include (but are not limited to) art, animation, programming, engineering, game direction, game design, sound design, and music composition. Students must have a minimum 3.3 GPA and be a full-time undergraduate student starting their second year or a graduate student. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Randy Pausch Scholarship
0,14 Campus Boulevard,,"Newtown Square, PA 19073",pmief@pmi.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/computer-science-scholarships/pmi-tulsa-chapter-scholarship/,"PMI Tulsa Chapter Scholarship offers awards to applicants who are enrolled in or applying for an accredited two-year associate's degree or four-year bachelor's degree program. Applicants will be reviewed with the following order of priority: a member of the PMI Tulsa Chapter or an immediate family member (including spouse, children, step-children and grandchildren but not cousins, aunts, or uncles) attending or planning to attend any two- or four-year accredited college or university; a resident of Northeastern Oklahoma attending or planning to attend any two- or four-year accredited college or university; an individual attending or planning to attend a two- or four-year accredited degree program at a college or university in Northeastern Oklahoma; or an any individual attending or planning to attend any two- or four-year accredited college or university in Oklahoma. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",PMI Tulsa Chapter Scholarship
