,contact_address1,contact_address2,contact_city_state_zip,contact_email,contact_phone,contact_title,details_url,program_description,program_name
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/mit-inspire-competition/,"MIT INSPIRE is the first national research competition for high school students in the arts, humanities, and social sciences. The competition is organized by MIT undergraduates. Participating high school students, as individuals or teams of two will submit research reports in one of 13 fields, such as history, economics, or philosophy. Approximately 100 finalists with the most exceptional reports will be invited to the MIT campus to present their research and compete for awards. Graduate students, research scientists, and faculty members specializing in each discipline will evaluate both the essays and the poster presentations. Additionally, members of the public will vote for a favorite project for a community choice award.(adsbygoogle = window.adsbygoogle || []).push({});General timeline:Intent to participate: due November 30Abstract: due December 31Research report: due December 31For more information or to apply, please visit the scholarship provider's website.",MIT Inspire Competition
0,1776 D Street NW,,"Washington, DC 20006",MichaelMaryCloydScholarship@NSDAR.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/michael-t-and-mary-l-cloyd-scholarship/,"A one-time only, preferred amount award of $3,000 to two (2) students with a minimum 3.0 GPA for a college junior studying in the field of archives management with a preference given to applicants specializing in American History.(adsbygoogle = window.adsbygoogle || []).push({});All applicants must be citizens of the United States and must attend or plan to attend an accredited college or university in the United States. DAR chapter sponsorship is not required; however, a chapter or state chairman may work with the applicant to put the information together to send to the DAR Scholarship Committee.For more information or to apply, please visit the scholarship provider's website.",Michael T. and Mary L. Cloyd Scholarship
0,4400 University Drive,PPE 1A1,"Fairfax, VA 22030",SmithFellowship@mercatus.gmu.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/mercatus-adam-smith-fellowship/,"The Adam Smith Fellowship is a co-sponsored program of the Mercatus Center and Liberty Fund, Inc. Adam Smith Fellowships are awarded to graduate students attending PhD programs in a variety of fields including economics, philosophy, political science, and sociology. The aim of these fellowships is to introduce students to and encourage them to critically engage key thinkers in political economy that they might not otherwise encounter during their graduate studies. As such, Smith Fellows spend three weekends during the academic year and one week during the summer in residence at George Mason University participating in workshops and seminars on the Austrian, Virginia, and Bloomington schools of political economy. The total award of up to $10,000 includes a stipend and travel and lodging to attend colloquia hosted by the Mercatus Center. Fellowship winners are eligible to re-apply each year of their studies. Smith Fellows are also eligible to apply for conference and research support. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Mercatus Adam Smith Fellowship
0,7051 Hollywood Blvd,,"Los Angeles, CA 90028",contests@authorservicesinc.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/l-ron-hubbard-writers-of-the-future-contest/,"The L. Ron Hubbard Writers of The Future Contest is an ongoing merit competition for new and amateur aspiring writers. Run on a quarterly basis, an eligible entry is any previously unpublished short story or novelette (under 17,000 words) of science fiction or fantasy. There will be three cash prizes in each quarter: a first place prize of $1,000, a second place prize of $750, and a third place prize of $500. In addition, at the end of the year, the winners will have their entries re-judged, and a grand prize winner shall be determined and receive an additional $5,000. All types of science fiction, fantasy, and dark fantasy are welcome. For more information or to apply, please visit the provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",L. Ron Hubbard Writers of The Future Contest
0,JSU Student Financial Aid Office,700 Pelham Road-North,"Jacksonville, AL 36265-1602",scholarships@jsu.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/jsu-alabama-opal-r-and-opal-a-lovett-scholarships/,"This scholarship was established by Mr. Opal R. and Ms. Opal A. Lovett for a deserving student majoring in history, English or art who has achieved sophomore or above status with a minimum 2.5 GPA. Mr. Lovett was the university's photographer prior to his retirement. Ms. Lovett taught in the English department prior to her retirement.(adsbygoogle = window.adsbygoogle || []).push({});For more information or to apply, please visit the scholarship provider's website.",JSU Alabama Opal R. & Opal A. Lovett Scholarships
0,JSU Student Financial Aid Office,700 Pelham Road-North,"Jacksonville, AL 36265-1602",scholarships@jsu.edu,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/jsu-alabama-major-john-pelham-memorial-scholarship/,The Major John Pelham Memorial Scholarship is for History majors in their junior or senior year of college at JSU; preference will be given to Calhoun County residents.(adsbygoogle = window.adsbygoogle || []).push({});,JSU Alabama Major John Pelham Memorial Scholarship
0,737 Flowing Meadow Drive,,"Henderson, NV 89014",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/jim-and-anna-hyonjoo-lint-scholarship/,"The Jim & Anna Hyonjoo Lint National Security Scholarships offers to help further the education and career development of scholars, especially in the areas of International Affairs, Counterintelligence and National Security. Workers in these fields and their children are encouraged to apply with the goal of improving national security and global understanding. The application requires a 600-800 word essay discussing/analyzing an issue related to the importance of Counterintelligence, International Affairs, and National Defense and/or National Security. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Jim & Anna Hyonjoo Lint Scholarship
0,3901 Centerville Road,,"Wilmington, DE 19807",awards@isi.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/isi-richard-m-weaver-fellowship/,"ISI's Graduate Fellowship Program is characterized by the observation of Richard M. Weaver that ""a liberal education specifically prepares for the achievement of freedom."" After more than fifty years, the ISI graduate fellows program boasts some of the most distinguished figures in the academy and public life. Each year ISI grants Richard M. Weaver Fellowships to students who intend to use their advanced degree to teach. The fellowship seeks to uphold the idea of academic excellence and the role of education in producing persons capable of making reasoned choices in favor of liberty.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Applicants must be U.S. citizens who will be enrolled in a full-time graduate program for the upcoming academic year-Applicants must be members of the Intercollegiate Studies Institute Those attending pre-professional (medical, law, divinity, business, etc.) programs are ineligibleApplicants must write an original, 1,250-2,500-word essay responding to one of the following questions:1. ""What is the relationship between liberal education and a free society?""2. ""What is the significance of the American Founding in the evolution of the free society?""For more information or to apply, please visit the scholarship provider's website.",ISI Richard M. Weaver Fellowship
0,3901 Centerville Road,,"Wilmington, DE 19807",awards@isi.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/isi-henry-salvatori-fellowship/,"The ISI Salvatori Fellowship seeks to further an understanding and appreciation of the principles held by the American Founding Fathers and the culture that formed their values and views.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Members of the Intercollegiate Studies Institute-Engaged in graduate studies for the purpose of teaching at the collegiate level-U.S. citizens enrolled full-time in a graduate program-Pre-professional students (medical, law, divinity, business, etc.) are not eligibleApplicants must submit an original, 1,250-2,500 word essay responding to one of the following questions:1. ""What is the relationship between liberal education and a free society?""2. ""What is the significance of the American Founding in the evolution of the free society?""For more information or to apply, please visit the scholarship provider's website.",ISI Henry Salvatori Fellowship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/isf-srvic-scholarship/,"ISF offers many joint and sponsored scholarships with partner organizations, masjids, student/alumni associations and private sponsors that share its mission and vision. SF supports Islamic organizations and mosques by planning and managing joint scholarships. ISF is honored to host the ISF-SRVIC scholarship of the San Ramon Valley Islamic Center (SRVIC). The ISF-SRVIC Scholarship program is only open to members and individuals affiliated with this center.(adsbygoogle = window.adsbygoogle || []).push({});Each Eligible Applicant Must Be:-An active member of the SRVIC-Attending an accredited university in the U.S.-Majoring in an ISF supported field of study-Maintaining a minimum 3.0 Grade Point Average-A Citizen or Permanent Resident of the U.S.-An undergraduate (sophomore/junior/senior) or of graduate standingFor more information or to apply, please visit the scholarship provider's website.",ISF-SRVIC Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/isf-msa-west-scholarship/,"ISF offers many joint scholarships to Muslim Student/University Alumni groups that share its common mission and vision. ISF is honored to work with the MSA-West to host the ISF-MSA West Scholarship.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Be attending an accredited MSA West member university in the U.S. and attended the MSA West Conference-Majoring in an ISF supported field of study-Maintaining a minimum 3.0 GPA-A citizen or permanent resident of the U.S.-An undergraduate (sophomore/junior/senior) or of graduate standing including Ph.D.For more information or to apply, please visit the scholarship provider's website.",ISF-MSA West Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/isf-mca-scholarship/,"ISF supports Islamic organizations and mosques by planning and managing joint scholarships. ISF is honored to host the ISF-MCA Scholarship of the Muslim Community Association of the Bay Area, MCA. The ISF-MCA Scholarship program is only open to members and individuals affiliated with the MCA.(adsbygoogle = window.adsbygoogle || []).push({});Each eligible applicant must be:-Active member of the MCA-Attending an accredited university in the U.S.-Majoring in an ISF supported field of study-Maintaining a minimum 3.0 GPA-Citizen of permanent resident of the U.S.-An undergraduate (sophomore/junior/senior) or graduate studentFor more information or to apply, please visit the scholarship provider's website.",ISF-MCA Scholarship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/isf-national-scholarships/,"The Islamic Scholarship Fund (ISF) is a non-profit 501(c)(3) entity founded in 2009 whose mission is to address the under-representation of American Muslims in the fields and occupations that influence public opinion and make public policy. Our belief is that fostering education and improving Muslim representation in all walks of life including media and politics will lead to full integration and better understanding of Islam and Muslims.(adsbygoogle = window.adsbygoogle || []).push({});ISF National Scholarships are open to all students who meet the following criteria:-Muslim or active member of the Muslim community-Enrollment at an accredited university in the U.S. by August-Majoring in an ISF supported major-U.S. citizen or permanent resident-Current undergraduate (sophomore/junior/senior) or graduate student (including PhD students)To stay focused on our mission, we do not support health, economics, environment, agriculture, food, psychology, engineering, education, or business related majors. For example, we don't support Public Policy with a focus on Health, Law, or Business.For more information or to apply, please visit the scholarship provider's website.",ISF National Scholarships
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/isc-iioc-scholarship/,"ISF supports Islamic organizations and mosques by planning and managing joint scholarships. ISF is honored to host the ISF-IIOC scholarship of the Islamic Institute of Orange County (IIOC).(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Active member of the IIOC-Attending an accredited university in the U.S.-Majoring in an ISF-supported field of study-Maintaining a minimum 3.0 GPA-A citizen or permanent resident of the U.S.-An undergraduate (sophomore/junior/senior) or of graduate standing, including Ph.D.For more information or to apply, please visit the scholarship provider's website.",ISC-IIOC Scholarship
0,737 Flowing Meadow Drive,,"Henderson, NV 89014",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/international-association-for-intelligence-education-scholarship/,"The International Association for Intelligence Education Scholarship is for intelligence professionals and personnel desiring to make a career in the intelligence field. Your essay should describe your affiliation with the intelligence career field or how you are working towards that goal. The winner will receive a mentor in the intelligence career field. For more information or to apply, please visit the scholarship provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",International Association for Intelligence Education Scholarship
0,3301 N Fairfax Drive,Suite 440,"Arlington, VA 22201",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/ihs-humane-studies-fellowship/,"The Humane Studies Fellowship program supports study in a variety of fields, including economics, philosophy, law, political science, and sociology, but all fellowships are awarded to graduate students whose research interests place an emphasis on advancing the ideas of a free society.(adsbygoogle = window.adsbygoogle || []).push({});Research interests from previous Humane Studies Fellowship recipients included:-Market-based approaches to environmental policy-The legal development of privacy and property rights in 18th-century England-The role of patient autonomy in bioethics-Impediments to economic growth in developing countries-The relationship between U.S. presidential politics, fiscal policies, and economic performanceThe Humane Studies Fellowship is an exclusive award for graduate students who are alumni of IHS programs and events. You will be required to submit a number of supporting documents such as your CV and personal recommendations.For more information or to apply, please visit the scholarship provider's website.",IHS Humane Studies Fellowship
0,,,,,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/ifc-uc-irvine-msu/,"ISF offers many joint scholarships to Muslim Student/University Alumni groups that share its common mission and vision. ISF is honored to work with the UC Irvine Muslim Alumni Association to host the ISF-UCI Muslim Alumni Scholarship to enable UCI students to achieve their goals in higher education. The program aims to seek to reciprocally reward active leaders in the Muslim Ummah, who have the most impact in improving the lives of their Muslim brothers and sisters. This award is for students who play a prominent role in their community through their activism and leadership, developing visionary ideas for the future of their community. ISF encourages its scholarship recipients to fulfill a volunteer service obligation through relevant internship programs within one year of receiving a scholarship.(adsbygoogle = window.adsbygoogle || []).push({});Eligibility:-Muslim and active member of the Muslim community-Attending UC Irvine-Majoring in an ISF supported field of study-Maintaining a minimum 3.0 GPA-A citizen or permanent resident of the U.S.-An undergraduate (sophomore/junior/senior) or of graduate standing, including Ph.D.For more information or to apply, please visit the scholarship provider's website.",IFC-UC Irvine MSU
0,19 West 44th Street,Suite 500,"New York, NY 10036",scholars@gilderlehrman.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/history-scholars-summer-program/,"The Gilder Lehrman History Scholar Award recognizes outstanding graduating college seniors who have demonstrated academic and extracurricular excellence in American history or American studies as well as a commitment to public service and community involvement.(adsbygoogle = window.adsbygoogle || []).push({});Fifteen top American history college seniors will be selected as Gilder Lehrman History Scholar Award winners who will:- Spend a weekend in New York City in June- Participate in a program of special presentations, including meetings with eminent scholars- Experience exclusive behind-the-scenes tours of historic archives- Receive the Gilder Lehrman History Scholar Award at a celebratory dinnerApplications open on September 1st. For more information, please visit our website.",History Scholars Summer Program
0,325 North St. Paul Street,Suite 3920,"Dallas, TX 75201",info@hattonsumners.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/hatton-w-sumners-scholarships/,"The Hatton W. Sumners Scholarship is a merit-based program. Successful candidates will demonstrate academic excellence, a sense of civic responsibility and the potential for leadership. In line with the Foundation's Statement of Purpose, the Foundation will work to enhance these traits and skills in each Sumners Scholar by making additional, unique educational experiences available.(adsbygoogle = window.adsbygoogle || []).push({});The Foundation has fourteen graduate and undergraduate scholarship programs, seven of which are supported by endowments, in Texas and Oklahoma. In all cases, scholarship applications and administration are handled by the individual institutions. The Foundation offers endowed law school scholarships, endowed undergraduate school scholarships, and non-endowed undergraduate and graduate scholarships.The Foundation does not provide applications for its scholarship programs. Those wishing to apply must contact the institution directly.For more information or to apply, please visit the scholarship provider's website.",Hatton W. Sumners Scholarships
0,The Washington Crossing Foundation,P.O. Box 503,"Levittown, PA 19058-0503",,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/gwcf-national-scholarship-competition/,"The GWCF National Scholarship Competition is open to all high school seniors who are U. S. citizens and are planning careers of service to the United States in local, state, or federal government.(adsbygoogle = window.adsbygoogle || []).push({});Entrants receiving full four-year tuition scholarships shall only be eligible for one-year special awards.Three (3) copies of a one-page essay not to exceed 300 words stating why the applicant is planning a career in government service including any inspiration to be derived from the leadership of George Washington in his famous crossing of the Delaware.The statement will be confined to viewpoint, attitude, and purpose in career choice. The ssay must be typewritten in not less than 12 point type, double-spaced, on a single page. Be sure toner and ink cartridges are in appropriate condition. Faint essays will not be read.For more information or to apply, please visit the scholarship provider's website.",GWCF National Scholarship Competition
0,1776 D Street NW,,"Washington, DC 20006",EnidHallMemorialScholarship@NSDAR.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/enid-hall-griswold-memorial-scholarship/,"The Enid Hall Griswold Memorial Scholarship is awarded to two deserving college juniors or seniors enrolled in an accredited college or university in the United States who is pursuing a major in political science, history, government, or economics. This is a one-time award in the amount of $5,000.(adsbygoogle = window.adsbygoogle || []).push({});All applicants must be citizens of the United States and must attend or plan to attend an accredited college or university in the United States. DAR chapter sponsorship is not required; however, a chapter or state chairman may work with the applicant to put the information together to send to the DAR Scholarship Committee.For more information or to apply, please visit the scholarship provider's website.",Enid Hall Griswold Memorial Scholarship
0,1776 D Street NW,,"Washington, DC 20006",PittengerAmerHistoryScholarship@NSDAR.org,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/dr-aura-lee-a-and-james-hobbs-pittenger-american-history-scholarship/,"The Dr. Aura-Lee A. and James Hobbs Pittenger American History Scholarship is awarded to graduating high school students who will pursue an undergraduate degree with a concentrated study of a minimum of 24 credit hours in American History and American Government. Renewal is conditional upon maintaining a 3.25 GPA. This award is intended to promote the study of our country's history among our finest students. U.S. citizens residing abroad may apply through a Units Overseas Chapter.(adsbygoogle = window.adsbygoogle || []).push({});All applicants must be citizens of the United States and must attend or plan to attend an accredited college or university in the United States. DAR chapter sponsorship is not required; however, a chapter or state chairman may work with the applicant to put the information together to send to the DAR Scholarship Committee.For more information or to apply, please visit the scholarship provider's website.",Dr. Aura-Lee A. and James Hobbs Pittenger American History Scholarship
0,13210 Prairie Circle East,,"Bonney Lake, WA 98391",dpwa@hotmail.com,,,https://www.scholarships.com/financial-aid/college-scholarships/scholarships-by-major/history-scholarships/daughters-of-the-pioneers-of-washington-scholarship/,"The State Association of the Daughters of Pioneers of Washington grants two (2) $1,500 scholarships annually. In order to qualify for this scholarship, you must be: a descendant of a person establishing residence in one of the following states: Washington State during or prior to 1870, Oregon State during or prior to 1853, Idaho State during or prior to 1863, Montana State - west of the crest of the Rocky Mountains-during or prior to 1863; a resident of Washington State; a full-time student in an accredited college or university in Washington State; and a college junior, senior or graduate student. Preference will be given to students majoring in history, education or English. For further information and how to apply, please visit the provider's website.(adsbygoogle = window.adsbygoogle || []).push({});",Daughters of the Pioneers of Washington Scholarship
